Operator & Campus,Location & Coordinates,Status,Total Capacity (MW),Cooling & Important Metrics,Official Documentation
Scala Data Centers - AI City,"Eldorado do Sul, RS (-30.00, -51.31)",Planned,4750,PUE: ~1.2 | WUE: 0.0 | Closed-loop air and liquid cooling ready,https://www.interglobixmagazine.com/a-new-ai-city-is-coming-to-the-south-of-brazil/
Scala Data Centers - Tamboré Campus (SP1-SP10),"Barueri, SP (-23.49, -46.84)",Partially Commissioned & Construction,600,"PUE: ~1.2 | WUE: 0.0 | Closed-loop, 100% renewable energy",https://www.interglobixmagazine.com/a-new-ai-city-is-coming-to-the-south-of-brazil/
CloudHQ - GRU Campus,"Paulínia, SP (-22.76, -47.15)",Under Construction,288,Structure: 6 buildings at 48 MW each | Direct high-voltage interconnection,https://cloudhq.com/campus/gru-campus/
Ascenty (Digital Realty) - Vinhedo Mega Campus,"Vinhedo, SP (-23.029, -46.975)",Commissioned,61,Structure: Vinhedo 1 & 2 | Power: 100% renewable via grid PPAs,https://dcatlas.io/en/explore/facilities/ascenty-vinhedo-1-data-center-vinhedo
Ascenty (Digital Realty) - Jundiaí Campus (JDI01),"Jundiaí, SP (-23.191, -46.974)",Commissioned,20,Structure: Expanding retail/wholesale colocation node,https://www.datacenterslist.com/data-centers/ascenty-jdi01-jundiai-jundiai
ODATA - SP01 Campus,"Santana de Parnaíba, SP (-23.440, -46.920)",Commissioned,19,Cooling: Delta³ cooling technology,https://dcatlas.io/en/explore/facilities/aligned-data-centers-odata-dc-sp01-data-center-santana-de-parna-ba
Equinix - SP1,"São Paulo, SP (-23.633, -46.702)",Commissioned,4,Retail Colocation | Connectivity Hub,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp1
Equinix - SP2,"Tamboré, SP (-23.513, -46.837)",Commissioned,12,Hyperscale ready | Direct cloud ramps,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp2
Equinix - SP3,"Santana de Parnaíba, SP (-23.438, -46.918)",Commissioned,20,LEED Certified | Liquid Cooling ready,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp3
Equinix - SP4,"São Paulo, SP (-23.522, -46.687)",Commissioned,6,Enterprise focus | High interconnection,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp4
Equinix - RJ1,"Rio de Janeiro, RJ (-22.894, -43.218)",Commissioned,3,Subsea cable landing connectivity,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/rio-de-janeiro-data-centers/rj1
Equinix - RJ2,"Rio de Janeiro, RJ (-22.883, -43.279)",Commissioned,8,Energy efficient cooling design,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/rio-de-janeiro-data-centers/rj2
Ascenty - Campinas 1,"Campinas, SP (-22.855, -47.051)",Commissioned,15,Tier III Certified | Carrier Neutral,https://ascenty.com/en/data-centers/campinas-1/
Ascenty - Campinas 2,"Campinas, SP (-22.857, -47.052)",Commissioned,10,Extension of Campinas 1 campus,https://ascenty.com/en/data-centers/campinas-2/
Ascenty - Fortaleza 1,"Fortaleza, CE (-3.785, -38.452)",Commissioned,5,Subsea cable access point,https://ascenty.com/en/data-centers/fortaleza-1/
Ascenty - Rio de Janeiro 1,"Rio de Janeiro, RJ (-22.895, -43.209)",Commissioned,12,Urban core colocation facility,https://ascenty.com/en/data-centers/rio-de-janeiro-1/
Ascenty - Rio de Janeiro 2,"Rio de Janeiro, RJ (-22.890, -43.215)",Commissioned,10,Expansion to RJ1 | Free cooling prep,https://ascenty.com/en/data-centers/rio-de-janeiro-2/
Ascenty - Osasco 1,"Osasco, SP (-23.518, -46.772)",Commissioned,8,Close proximity to SP metro,https://ascenty.com/en/data-centers/osasco-1/
Ascenty - Osasco 2,"Osasco, SP (-23.520, -46.774)",Planned,15,High density ready | Waterless cooling,https://ascenty.com/en/data-centers-en/location/brazil/
Ascenty - Paulínia 1,"Paulínia, SP (-22.758, -47.145)",Commissioned,25,Large scale enterprise focus,https://ascenty.com/en/data-centers/paulinia-1/
ODATA - SP02 Campus,"Hortolândia, SP (-22.863, -47.218)",Commissioned,40,Delta³ cooling | Renewable powered,https://odatacolocation.com/data-centers/brazil/sao-paulo-sp02/
ODATA - SP03 Campus,"Cotia, SP (-23.604, -46.901)",Commissioned,10,Edge colocation focus,https://odatacolocation.com/data-centers/brazil/sao-paulo-sp03/
ODATA - RJ01 Campus,"Rio de Janeiro, RJ (-22.910, -43.205)",Commissioned,15,High availability | Urban footprint,https://odatacolocation.com/data-centers/brazil/rio-de-janeiro-rj01/
Elea Digital - POA1,"Porto Alegre, RS (-29.988, -51.196)",Commissioned,4,Regional edge | Green energy,https://eleadigital.com/data-centers/poa1/
